State;Year;Real GDP (1997 chained millions)
Idaho;1984;16892
Illinois;1984;274171
Indiana;1984;109229,2
Iowa;1984;54893,2
Kansas;1984;53240,6
Kentucky;1984;67270,4
Louisiana;1984;102250,7
Maine;1984;21917,3
Maryland;1984;105743
Massachusetts;1984;155335,2
Michigan;1984;206385,2
Mideast;1984;1120588
Minnesota;1984;100958,2
Mississippi;1984;39379,1
Missouri;1984;107071,1
Montana;1984;15022,8
Nebraska;1984;33716,2
Nevada;1984;24833,3
New England;1984;322249,4
New Hampshire;1984;20557,9
New Jersey;1984;196142,6
New Mexico;1984;26158,1
New York;1984;512500,7
North Carolina;1984;127346,9
North Dakota;1984;13588,2
Ohio;1984;229868,1
Oklahoma;1984;66996,5
Oregon;1984;52794
Pennsylvania;1984;242571,8
Plains;1984;376210,4
Rhode Island;1984;20421,7
Rocky Mountain;1984;156455,9
South Carolina;1984;57694,6
South Dakota;1984;12694,2
Southeast;1984;1116483
Southwest;1984;541314,7
Tennessee;1984;91425,7
Texas;1984;383084
Utah;1984;31158,8
Vermont;1984;9589,7
Virginia;1984;133819,8
Washington;1984;109175,9
West Virginia;1984;28766,2
Wisconsin;1984;96922,1
Wyoming;1984;13027,8
Alabama;1985;73801,3
Alaska;1985;29833,8
Arizona;1985;69446,7
Arkansas;1985;39403,4
California;1985;728599
Colorado;1985;82357,2
Connecticut;1985;99671,2
Delaware;1985;20491,9
District of Columbia;1985;45562,7
Far West;1985;979705,5
Florida;1985;242869,9
Georgia;1985;136869,3
Great Lakes;1985;946668,4
Hawaii;1985;29973
Idaho;1985;17274,1
Illinois;1985;282223,7
Indiana;1985;111327
Iowa;1985;56009,1
Kansas;1985;55267,3
Kentucky;1985;69293,8
Louisiana;1985;104077,7
Maine;1985;22858
Maryland;1985;111803,3
Massachusetts;1985;164593,1
Michigan;1985;215018,5
Mideast;1985;1158560
Minnesota;1985;104958,2
Mississippi;1985;40473,6
Missouri;1985;108666,9
Montana;1985;14635,1
Nebraska;1985;34880,8
Nevada;1985;25888,2
New England;1985;341303,1
New Hampshire;1985;22435,4
New Jersey;1985;206428,5
New Mexico;1985;27134,9
New York;1985;526285,3
North Carolina;1985;135373,8
North Dakota;1985;13668,1
Ohio;1985;238150,2
Oklahoma;1985;68100,9
Oregon;1985;54079,8
Pennsylvania;1985;248494,6
Plains;1985;386662,3
Rhode Island;1985;21753,9
Rocky Mountain;1985;160383,4
South Carolina;1985;59770,8
South Dakota;1985;13173,7
Southeast;1985;1166972
Southwest;1985;564578,4
Tennessee;1985;94918
Texas;1985;400230
Utah;1985;32938,1
Vermont;1985;10152,5
Virginia;1985;140417,7
Washington;1985;110215,2
West Virginia;1985;29084,5
Wisconsin;1985;100203,9
Wyoming;1985;13190,5
Alabama;1986;74558
Alaska;1986;24956,8
Arizona;1986;73546
Arkansas;1986;40177,1
California;1986;756165,8
Colorado;1986;81844,9
Connecticut;1986;104257,6
Delaware;1986;21067,7
District of Columbia;1986;45847,6
Far West;1986;1010168
Florida;1986;253650,7
Georgia;1986;144853,2
Great Lakes;1986;962228,9
Hawaii;1986;30989,1
Idaho;1986;16937,2
Illinois;1986;288439,3
Indiana;1986;113097,8
Iowa;1986;55262,1
Kansas;1986;55466,3
Kentucky;1986;68323,1
Louisiana;1986;103870,4
Maine;1986;23880,4
