state;year;UG;Gender_M
UT;1980;-0.03;
UT;1984;-0.02;
UT;1988;-0.17;
UT;1992;0.07;0.49
UT;1996;-0.17;0.49
UT;2000;0.03;0.5
UT;2004;0.14;0.5
UT;2008;-0.12;0.5
UT;2012;-0.26;0.5
UT;2016;-0.26;0.5
VA;1980;-0.19;
VA;1984;-0.15;
VA;1988;-0.29;
VA;1992;0.62;0.49
VA;1996;-0.15;0.48
VA;2000;-0.39;0.49
VA;2004;0.19;0.48
VA;2008;0.08;0.49
VA;2012;-0.09;0.49
VA;2016;-0.28;0.49
VT;1980;-0.03;
VT;1984;-0.12;
VT;1988;-0.38;
VT;1992;0.74;0.48
VT;1996;-0.17;0.48
VT;2000;-0.28;0.48
VT;2004;0.12;0.49
VT;2008;0.34;0.49
VT;2012;-0.24;0.49
VT;2016;-0.27;0.49
WA;1980;0.27;
WA;1984;-0.03;
WA;1988;-0.25;
WA;1992;0.24;0.49
WA;1996;-0.16;0.49
WA;2000;0.06;0.49
WA;2004;0;0.49
WA;2008;-0.04;0.49
WA;2012;-0.12;0.5
WA;2016;-0.24;0.5
WI;1980;0.13;
WI;1984;-0.08;
WI;1988;-0.39;
WI;1992;0.19;0.48
WI;1996;-0.25;0.49
WI;2000;-0.03;0.49
WI;2004;0.11;0.49
WI;2008;0.04;0.49
WI;2012;-0.19;0.49
WI;2016;-0.4;0.49
WV;1980;0.48;
WV;1984;0.4;
WV;1988;-0.25;
WV;1992;0.31;0.47
WV;1996;-0.29;0.48
WV;2000;-0.2;0.48
WV;2004;0.06;0.48
WV;2008;-0.16;0.49
WV;2012;-0.03;0.49
WV;2016;-0.1;0.49
WY;1980;-0.39;
WY;1984;0.54;
WY;1988;-0.06;
WY;1992;-0.08;0.5
WY;1996;-0.08;0.5
WY;2000;-0.19;0.5
WY;2004;0;0.5
WY;2008;-0.14;0.51
WY;2012;-0.16;0.51
WY;2016;0.13;0.51
